il,lon,lat
Adana,37.005009891267854,35.33612529836378
Adıyaman,37.82013003366001,38.40119909360523
Bingöl,38.88411801794906,40.48737192683662
Diyarbakır,37.936853333958325,40.20147171669648
Elazığ,38.67497435307583,39.229908880642405
Erzincan,39.74878503613294,39.49292170660624
Gaziantep,37.06471227663637,37.386645281472525
Hatay,36.53154884736501,36.321010845960146
Mersin,36.81577877078254,34.65798833919281
Kayseri,38.74902660257275,35.50245272423257
Malatya,38.358271719996374,38.308914840568576
Kahramanmaraş,37.58189648792293,36.92125196894083
Mardin,37.315841253620675,40.72838206918752
Muş,38.744432463908964,41.508353403153215
Sivas,39.74733536237206,36.994535743213994
Tunceli,39.107575339456595,39.54552061070142
Şanlıurfa,37.169305596344415,38.80144746532894
Van,38.501270067039684,43.36953893912592
Aksaray,38.358356275886095,34.02087079953895
Kilis,36.722377443086394,37.11326233052679
Osmaniye,37.071523548260885,36.2467333590857